time_s,iters,rps,mbps,p50_us,p95_us,p99_us,cpu_pct,rss_mb,errors
2633,978567556,374209,11694,43.45,58.5,65.5,472.543,5,0
2643,982313254,373973,11686.6,43.45,58.5,65.5,471.451,5,0
2653,986062610,374370,11699,43.45,58.5,65.5,464.275,5,0
2663,989807372,373859,11683.1,43.45,58.5,65.5,457.878,5,0
2673,993549998,373684,11677.6,43.45,58.5,65.5,460.998,5,0
2683,997294690,373908,11684.6,43.45,58.5,65.5,465.835,5,0
2693,1001043601,374293,11696.6,43.45,58.5,65.5,453.978,5,0
2703,1004786756,373723,11678.8,43.45,58.5,65.5,466.147,5,0
2713,1008519891,372754,11648.6,43.45,58.5,65.5,471.295,5,0
2723,1012249990,372422,11638.2,43.45,58.5,65.5,472.075,5,0
2733,1015980636,372473,11639.8,43.45,58.5,65.5,461.31,5,0
2743,1019709237,372299,11634.3,43.45,58.5,65.5,458.658,5,0
2753,1023439956,372455,11639.2,43.45,58.5,65.5,468.175,5,0
2763,1027170060,372463,11639.5,43.45,58.5,65.5,444.93,5,0
2773,1030912301,373605,11675.2,43.45,58.5,65.5,461.466,5,0
2783,1034653697,373576,11674.2,43.45,58.5,65.5,460.53,5,0
2793,1038395888,373622,11675.7,43.45,58.5,65.5,463.183,5,0
2803,1042140934,373936,11685.5,43.45,58.5,65.5,466.303,5,0
2813,1045882560,373594,11674.8,43.45,58.5,65.5,469.735,5,0
2823,1049626257,373751,11679.7,43.45,58.5,65.5,467.395,5,0
2833,1053373661,374182,11693.2,43.45,58.5,65.5,462.402,5,0
2843,1057121003,374145,11692,43.45,58.5,65.5,461.154,5,0
2853,1060863965,373687,11677.7,43.45,58.5,65.5,456.474,5,0
2863,1064603500,373371,11667.9,43.45,58.5,65.5,455.538,5,0
2873,1068346363,373718,11678.7,43.45,58.5,65.5,468.175,5,0
2883,1072075698,372356,11636.1,43.45,58.5,65.5,471.295,5,0
2894,1075802348,372069,11627.2,43.45,58.5,65.5,472.075,5,0
2904,1079531356,372364,11636.4,43.45,58.5,65.5,479.875,5,0
2914,1083259084,372163,11630.1,43.45,58.5,65.5,475.819,5,0
2924,1086984633,371979,11624.3,43.45,58.5,65.5,464.587,5,0
2934,1090711747,372118,11628.7,43.45,58.5,65.5,463.651,5,0
2944,1094432668,371531,11610.3,43.45,58.5,65.5,472.387,5,0
2954,1098159370,372079,11627.5,43.45,58.5,65.5,473.947,5,0
2964,1101879530,371430,11607.2,43.45,58.5,65.5,473.635,5,0
2974,1105599531,371435,11607.3,43.45,58.5,65.5,478.627,5,0
2984,1109329408,372380,11636.9,43.45,58.5,65.5,475.819,5,0
2994,1113056678,372137,11629.3,43.45,58.5,65.5,468.955,5,0
3004,1116786681,372435,11638.6,43.45,58.5,65.5,469.423,5,0
3014,1120516511,372396,11637.4,43.45,58.5,65.5,461.934,5,0
3024,1124241514,371943,11623.2,43.45,58.5,65.5,469.735,5,0
3034,1127970597,372317,11634.9,43.45,58.5,65.5,463.807,5,0
3044,1131704780,372833,11651,43.45,58.5,65.5,461.31,5,0
3054,1135435033,372431,11638.5,43.45,58.5,65.5,474.727,5,0
3064,1139169380,372848,11651.5,43.45,58.5,65.5,469.891,5,0
3074,1142898722,372369,11636.5,43.45,58.5,65.5,474.415,5,0
3084,1146627390,372293,11634.1,43.45,58.5,65.5,459.75,5,0
3094,1150361215,372836,11651.1,43.45,58.5,65.5,474.883,5,0
3104,1154094414,372692,11646.6,43.45,58.5,65.5,463.183,5,0
3114,1157822946,372312,11634.8,43.45,58.5,65.5,453.666,5,0
3124,1161550083,372658,11645.6,43.45,58.5,65.5,472.031,5,0
3134,1165285547,373005,11656.4,43.45,58.5,65.5,467.863,5,0
3144,1169021861,372999,11656.2,43.45,58.5,65.5,467.551,5,0
3154,1172754833,372737,11648,43.45,58.5,65.5,468.487,5,0
3164,1176491630,373097,11659.3,43.45,58.5,65.5,478.783,5,0
3174,1180226006,372838,11651.2,43.45,58.5,65.5,468.955,5,0
3184,1183959779,372817,11650.5,43.45,58.5,65.5,462.871,5,0
3194,1187695913,373024,11657,43.45,58.5,65.5,461.31,5,0
3204,1191430831,372902,11653.2,43.45,58.5,65.5,455.85,5,0
3214,1195164450,372780,11649.4,43.45,58.5,65.5,458.19,5,0
3224,1198894028,372387,11637.1,43.45,58.5,65.5,476.131,5,0
3234,1202624391,372462,11639.4,43.45,58.5,65.5,460.374,5,0
3244,1206359287,372884,11652.6,43.45,58.5,65.5,467.551,5,0
3254,1210095745,373091,11659.1,43.45,58.5,65.5,464.119,5,0
3264,1213827540,372573,11642.9,43.45,58.5,65.5,458.346,5,0
3274,1217546772,371365,11605.2,43.45,58.5,65.5,470.359,5,0
3284,1221271064,371835,11619.9,43.45,58.5,65.5,470.827,5,0
3294,1224998357,372130,11629.1,43.45,58.5,65.5,487.051,5,0
3304,1228727930,372405,11637.7,43.45,58.5,65.5,463.651,5,0
3314,1232456252,372235,11632.4,43.45,58.5,65.5,464.119,5,0
3324,1236182124,372056,11626.8,43.45,58.5,65.5,459.75,5,0
3334,1239906052,371782,11618.2,43.45,58.5,65.5,481.279,5,0
3344,1243633418,372678,11646.2,43.45,58.5,65.5,470.156,5,0
3354,1247363692,372492,11640.4,43.45,58.5,65.5,460.998,5,0
3364,1251094370,372495,11640.5,43.45,58.5,65.5,466.147,5,0
3374,1254823537,372321,11635,43.45,58.5,65.5,468.799,5,0
3384,1258558093,372868,11652.1,43.45,58.5,65.5,476.755,5,0
3394,1262288592,372690,11646.6,43.45,58.5,65.5,472.855,5,0
3404,1265983373,369249,11539,43.45,58.5,65.5,408.594,5,0
3414,1269646523,365767,11430.2,43.45,58.5,65.5,400.624,5,0
3424,1273328905,367640,11488.8,43.45,58.5,65.5,411.856,5,0
3434,1277400960,406596,12706.1,43.45,58.5,65.5,454.602,5,0
3444,1281300829,389725,12178.9,43.45,58.5,65.5,370,5,0
3454,1285212296,390805,12212.7,43.45,58.5,65.5,383.463,5,0
3464,1289240209,402672,12583.5,43.45,58.5,65.5,429.375,5,0
3474,1293359562,411410,12856.6,43.45,58.5,65.5,464.275,5,0
3484,1297520251,415420,12981.9,43.35,58.5,65.5,460.092,5,0
3494,1301687187,416064,13002,43.35,58.5,65.5,458.317,5,0
3504,1305824013,413014,12906.7,43.35,58.5,65.5,453.822,5,0
3514,1309979567,414871,12964.7,43.35,58.5,65.5,457.41,5,0
3524,1314123639,414243,12945.1,43.35,58.5,65.5,462.812,5,0
3534,1318260013,413334,12916.7,43.25,58.5,65.5,465.523,5,0
3544,1322421194,415949,12998.4,43.25,58.5,65.5,470.156,5,0
3554,1326564943,414041,12938.8,43.25,58.5,65.5,463.807,5,0
3564,1330683746,411430,12857.2,43.25,58.5,65.5,474.375,5,0
3574,1334779451,409101,12784.4,43.25,58.5,65.5,458.034,5,0
3584,1338844792,405862,12683.2,43.15,58.5,65.5,438.066,5,0
3594,1342757815,390709,12209.6,43.15,58.5,65.5,354.134,5,0
3604,1346675663,391170,12224.1,43.15,58.5,65.5,348.05,5,0
3615,1350594753,391302,12228.2,43.15,58.5,65.5,360.374,5,0
3625,1354671770,407047,12720.2,43.15,58.5,65.5,429.173,5,0
3635,1358843926,416569,13017.8,43.15,58.5,65.5,460.53,5,0
3645,1362753984,390396,12199.9,43.15,58.5,65.5,359.126,5,0
3655,1366665120,390485,12202.6,43.15,58.5,65.5,354.446,5,0
3665,1370577147,390594,12206.1,43.15,58.5,65.5,355.07,5,0
3675,1374485144,390144,12192,43.15,58.5,65.5,369.267,5,0
3685,1378400174,390960,12217.5,43.05,58.5,65.5,359.594,5,0
3695,1382307523,390100,12190.6,43.05,58.5,65.5,356.162,5,0
3705,1386228533,391571,12236.6,43.05,58.5,65.5,373.167,5,0
3715,1390325288,409481,12796.3,43.05,58.5,65.5,456.719,5,0
3725,1394414170,408640,12770,43.05,58.5,65.5,459.75,5,0
3735,1398555637,413853,12932.9,43.05,58.5,65.5,468.438,5,0
3745,1402692610,413202,12912.5,43.05,58.5,65.5,467.395,5,0
3755,1406868792,417512,13047.2,42.95,58.5,65.5,470.156,5,0
3765,1411045537,417014,13031.7,42.95,58.5,65.5,466.615,5,0
3775,1415188598,413701,12928.2,42.95,58.5,65.5,467.395,5,0
3785,1419320387,412681,12896.3,42.95,58.5,65.5,472.855,5,0
3795,1423472883,414876,12964.9,42.95,58.5,65.5,465.469,5,0
3805,1427583422,410713,12834.8,42.95,58.5,65.5,453.978,5,0
3815,1431701252,411669,12864.7,42.85,58.5,65.5,456.719,5,0
3825,1435860467,415292,12977.9,42.85,58.5,65.5,461.31,5,0
3835,1440003564,413640,12926.2,42.85,58.5,65.5,465.523,5,0
3845,1444174830,416497,13015.5,42.85,58.5,65.5,458.658,5,0
3855,1448316340,413481,12921.3,42.85,58.5,65.5,476.443,5,0
3865,1452444022,412472,12889.7,42.75,58.5,65.5,467.969,5,0
3875,1456617198,416977,13030.5,42.75,58.5,65.5,463.339,5,0
3885,1460818964,419531,13110.3,42.75,58.5,65.5,457.098,5,0
